"Hospital name","Phone number","Street address","Suburb","Postcode","State","Local Hospital Network (LHN)","Primary Health Network area (PHN)","Website","Description","Sector","Beds","Latitude","Longitude"
"St John of God Bunbury Hospital","08 9722 1600","Corner of Roberston Drive and Bussell Highway","Bunbury","6230","WA","","","www.sjog.org.au/bunbury","","Private","100-199","-33.365946999999998","115.648869"
"St John of God Burwood Hospital","02 9715 9200","13 Grantham Street","Burwood","2134","NSW","","","www.sjog.org.au/burwood","","Private","50-99","-33.869832000000002","151.100538"
"St John of God Frankston Rehabilitation Hospital","03 9788 3333","255-265 Cranbourne Road","Frankston","3199","Vic","","","www.sjog.org.au/frankston","","Private","50-99","-38.153035000000003","145.15592599999999"
"St John of God Geelong Hospital","03 5226 8888","80 Myers Street","Geelong","3220","Vic","","","www.sjog.org.au/geelong","","Private","100-199","-38.151567","144.35767899999999"
"St John of God Geraldton Hospital","08 9965 8888","12 Hermitage Street","Geraldton","6530","WA","","","www.sjog.org.au/geraldton","","Private","50-99","-28.784382999999998","114.616439"
"St John of God Midland Private Hospital","08 9462 4500","1 Clayton Street","Midland","6056","WA","","","https://www.sjog.org.au/our-locations/st-john-of-god-midland-private-hospital","","Private","50-99","-31.8946106","116.0074802"
"St John of God Midland Public Hospital","08 9462 4000","1 Clayton Street","Midland","6056","WA","East Metropolitan Health Service (WA)","Perth North","www.sjog.org.au/our-locations/st-john-of-god-midland-public-hospital","Large metropolitan hospital with an emergency department","Public","200-500","-31.894831799999999","116.008852"
"St John of God Mt Lawley Hospital","08 9370 9222","Thirlmere Road","Mount Lawley","6050","WA","","","www.sjog.org.au/mtlawley","","Private","200-500","-31.936720999999999","115.88492599999999"
"St John of God Murdoch Hospital","08 9366 1111","100 Murdoch Drive","Murdoch","6150","WA","","","www.sjog.org.au/murdoch","","Private","200-500","-32.067919000000003","115.84465899999999"
"St John of God Pinelodge Clinic","03 8793 9444","1480 Heatherton Road","Dandenong","3175","Vic","","","www.sjog.org.au/pinelodge","","Private","50-99","-37.970225999999997","145.213143"
"St John of God Richmond Hospital","02 4570 6100","177 Grose Vale Road","North Richmond","2754","NSW","","","www.sjog.org.au/richmond","","Private","50-99","-33.591946","150.702473"
"St John of God Subiaco Hospital","08 9382 6111","12 Salvado Road","Subiaco","6008","WA","","","www.sjog.org.au/subiaco","","Private",">500","-31.941246","115.82628200000001"
"St John of God Warrnambool Hospital","03 5564 0600","136 Botanic Road","Warrnambool","3280","Vic","","","www.sjog.org.au/warrnambool","","Private","50-99","-38.371405000000003","142.47874899999999"
"St Joseph's Hospital","02 9649 8941","Normanby Road","Auburn","2144","NSW","St Vincent's Health Network","Western Sydney","www.svhs.org.au/about-us/st-josephs-hospital","Metropolitan hospital","Public","50-99","-33.848658999999998","151.02833899999999"
"St Luke's Hospital","02 9356 0200","18 Roslyn Street","Potts Point","2011","NSW","","","www.slc.org.au","","Private","50-99","-33.874187999999997","151.22583599999999"
"St Margaret's Hospital","08 8242 9111","65 Military Road","Semaphore","5019","SA","Central Adelaide","Adelaide","","Specialist rehabilitation hospital","Public","<50","-34.846418","138.48046600000001"
"St Marys Community Health Centre","03 6387 5555","Gardiners Creek Road","St Marys","7215","Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/st_marys_health_centre","Regional hospital","Public","<50","-41.576062","148.18124399999999"
"St Stephen's Hospital Hervey Bay","07 4120 1200","1 Medical Place","Urraween","4655","Qld","","","http://ststephenshospital.com.au","","Private","50-99","-25.299851","152.823273"
"St Vincent’s Hospital [Darlinghurst]","02 8382 1111","390 Victoria Street","Darlinghurst","2010","NSW","St Vincent's Health Network","Central and Eastern Sydney","www.svhs.org.au","Major hospital with an emergency department","Public","200-500","-33.879691999999999","151.221125"
"St Vincent's Hospital [Fitzroy]","03 9288 2211","41 Victoria Parade","Fitzroy","3065","Vic","St Vincent's Hospital (Melbourne) Limited","North Western Melbourne","www.svhm.org.au","Major hospital with an emergency department","Public","200-500","-37.806545","144.97523100000001"
"St Vincent's Private Hospital [Lismore]","02 6627 9600","20 Dalley Street","Lismore","2480","NSW","","","www.svh.org.au","","Private","50-99","-28.819949000000001","153.28738100000001"
"St Vincent's Private Hospital Brisbane","07 3240 1111","411 Main Street","Kangaroo Point","4169","Qld","","","www.svphb.org.au","","Private","100-199","-27.473334000000001","153.03541999999999"
"St Vincent's Private Hospital East Melbourne","03 9928 6555","159 Grey Street","East Melbourne","3002","Vic","","","www.stvincentsmercy.com.au","","Private","100-199","-37.811732999999997","144.98416399999999"
"St Vincent's Private Hospital Fitzroy","03 9411 7111","59-61 Victoria Parade","Fitzroy","3065","Vic","","","www.stvincentsmercy.com.au","","Private","200-500","-37.807993000000003","144.97602900000001"
"St Vincent's Private Hospital Kew","03 9851 8888","5 Studley Avenue","Kew","3101","Vic","","","www.stvincentsmercy.com.au","","Private","<50","-37.806567000000001","145.02369400000001"
"St Vincent's Private Hospital Toowoomba","07 4690 4000","22-36 Scott Street","Toowoomba","4350","Qld","","","www.svpht.org.au","","Private","100-199","-27.565674999999999","151.97155100000001"
"St Vincent's Private Sydney","02 8382 7111","406 Victoria Street","Darlinghurst","2010","NSW","","","www.stvincentsprivatehospital.com.au/","","Private","200-500","-33.880698000000002","151.21946199999999"
"Stanthorpe Hospital","07 4683 3400","8 McGregor Terrace","Stanthorpe","4380","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-stanthorpe-hs.asp","Small hospital","Public","<50","-28.660927000000001","151.92839699999999"
"State Forensic Mental Health Service","08 9347 6960","Brockway Road","Mount Claremont","6010","WA","North Metropolitan Health Service (WA)","Perth North","www.health.wa.gov.au/services/detail.cfm?Unit_ID=71","Specialist psychiatric hospital","Public","<50","-31.960937000000001","115.788431"
"Stawell Regional Health","03 5358 8500","27-29 Sloane Street","Stawell","3380","Vic","Stawell Regional Health","Western Victoria","www.srh.org.au/","Small hospital","Public","<50","-37.059576999999997","142.78160299999999"
"Stirling Hospital","08 8339 0200","20 Milan Terrace","Stirling","5152","SA","","","www.stirlinghospital.org.au","","Private","<50","-35.007274000000002","138.71485899999999"
"Strathalbyn and District Health Service","08 8536 5333","14 Alfred Place","Strathalbyn","5255","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/strathalbynhospital","Small hospital","Public","<50","-35.257674000000002","138.89355800000001"
"Strathfield Private Hospital","02 9745 7444","3 Everton Road","Strathfield","2135","NSW","","","www.strathfieldprivate.com.au","","Private","50-99","-33.872059","151.097544"
"Streaky Bay Hospital","08 8626 1009","1 Flinders Drive","Streaky Bay","5680","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/streakybayhospital","Regional hospital","Public","<50","-32.792776000000003","134.217524"
"Subiaco Private Hospital","08 6555 6599","Suite 9, 1 Salvado Road","Subiaco","6008","WA","","","http://www.curagroup.com.au/subiaco-private-hospital","","Private","<50","-31.9434","115.82599999999999"
"Sunbury Day Hospital","03 9732 8600","7 Macedon Street","Sunbury","3429","Vic","Western Health (Vic)","North Western Melbourne","","Day procedure hospital","Public","<50","-37.576998000000003","144.732674"
"Sunnybank Private Hospital","07 3344 9444","245 McCullough Street","Sunnybank","4109","Qld","","","www.sunnybankprivatehospital.com.au","","Private","100-199","-27.572541000000001","153.06105099999999"
"Sunshine Coast Day Surgery","07 5444 9033","Second Ave & Memorial Avenue","Maroochydore","4558","QLD","","","www.curagroup.com.au/sunshine-coast-day-surgery","","Private","","-26.655373000000001","153.09615700000001"
"Sunshine Coast Haematology and Oncology Clinic","07 5479 0000","10 King Street","Buderim","4556","Qld","","","www.schoc.com","","Private","<50","-26.657298999999998","153.094955"
"Sunshine Coast University Hospital","07 5202 0000","6 Doherty Street","Birtinya","4575","Qld","Sunshine Coast","Central Queensland, Wide Bay and Sunshine Coast","https://www.health.qld.gov.au/sunshinecoast/services-and-facilities/sunshine-coast-university-hospital","Major hospital with an emergency department","Public","200-500","-26.74681","153.113812"
"Sunshine Coast University Private Hospital","07 5390 6000","3 Doherty Street","Birtinya","4575","Qld","","","www.sunshinecoastuniversityprivate.com.au/","","Private","100-199","-26.744219999999999","153.114563"
"Sunshine Hospital","03 8345 1333","176 Furlong Road","St Albans","3021","Vic","Western Health (Vic)","North Western Melbourne","","Medium metropolitan hospital with an emergency department","Public",">500","-37.759179000000003","144.81647699999999"
"Surat Hospital","07 4626 5166","Ivan Street","Surat","4417","Qld","South West (Qld)","Western Queensland","www.health.qld.gov.au/services/southwest/swest_surat_hosp.asp","Regional hospital","Public","<50","-27.156594999999999","149.06378699999999"
"Sutherland Heart Clinic","02 9540 8555","Level 2, The Sutherland Hospital, The Kingsway","Caringbah","2229","NSW","","","www.sutherlandheartclinic.com.au","","Private","<50","-34.037931","151.11415299999999"
"Sutherland Hospital","02 9540 7111","430 Kingsway","Caringbah","2229","NSW","South Eastern Sydney","Central and Eastern Sydney","http://www.seslhd.health.nsw.gov.au/TSH/","Large metropolitan hospital with an emergency department","Public","200-500","-34.037287999999997","151.115151"
"Swan Hill District Health [Nyah]","03 5030 2572","Monash Avenue","Nyah West","3595","Vic","Swan Hill District Health","Murray","","Regional hospital","Public","<50","-35.186051999999997","143.35542799999999"
"Swan Hill District Health [Swan Hill]","03 5033 9300","48 Splatt Street","Swan Hill","3585","Vic","Swan Hill District Health","Murray","www.shdh.org.au","Small hospital with an emergency department","Public","50-99","-35.340587999999997","143.55651399999999"
"Sydney Adventist Hospital","02 9487 9111","185 Fox Valley Road","Wahroonga","2076","NSW","","","www.sah.org.au","","Private",">500","-33.733378999999999","151.099874"
"Sydney Children's Hospital","02 9382 1111","High Street","Randwick","2031","NSW","Sydney Children's Hospitals Network","Central and Eastern Sydney","www.sch.edu.au/","Specialist children's hospital with an emergency department","Public","100-199","-33.917178999999997","151.23833400000001"
"Sydney Day Surgery - Prince Alfred","02 9550 5600","RPAH Medical Centre - Suite 106, 100 Carillon Avenue","Newtown","2042","NSW","","","http://www.curagroup.com.au/sydney-day-surgery-prince-alfred","","Private","<50","-33.891199999999998","151.18350000000001"
"Sydney Dental Hospital","02 9293 3200","2 Chalmers Street","Surry Hills","2010","NSW","South Eastern Sydney","Central and Eastern Sydney","www.sswahs.nsw.gov.au/sydneydentalhospital","Specialist dental hospital","Public","<50","-33.884469000000003","151.20781099999999"
"Sydney Hospital / Sydney Eye Hospital","02 9382 7111","8 Macquarie Street","Sydney","2000","NSW","South Eastern Sydney","Central and Eastern Sydney","www.seslhd.health.nsw.gov.au/SHSEH/default.asp","Medium metropolitan hospital with an emergency department","Public","50-99","-33.867928999999997","151.21257499999999"
"Sydney Southwest Private Hospital","02 9821 0333","40 Bigge Street","Liverpool","2170","NSW","","","www.sydneysouthwestprivatehospital.com.au","","Private","50-99","-33.917876","150.92749900000001"
"Tailem Bend District Hospital","08 8572 5800","74 Princes Highway","Tailem Bend","5260","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/tailembendhospital","Regional hospital","Public","<50","-35.254803000000003","139.45269200000001"
"Tallangatta Health Service","02 6071 5200","25 Barree Street","Tallangatta","3700","Vic","Tallangatta Health Service","Murray","","Regional hospital","Public","<50","-36.213704999999997","147.18370899999999"
"Tamara Private Hospital","02 6766 1955","2-6 Dean Street","Tamworth","2340","NSW","","","www.tamaraprivate.com.au/","","Private","50-99","-31.077535000000001","150.921764"
"Tamworth Hospital","02 6767 7700","31 Dean Street","Tamworth","2340","NSW","Hunter New England","Hunter New England and Central Coast","","Large regional hospital with an emergency department","Public","200-500","-31.074079000000001","150.92419899999999"
"Tanunda War Memorial Hospital","08 8563 2398","15 Mill Street","Tanunda","5352","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/Tanundahospital","Small hospital","Public","<50","-34.528081999999998","138.960859"
"Tara Hospital","07 4678 7900","15 Bilton Street","Tara","4421","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-tara-hs.asp","Regional hospital","Public","<50","-27.273674","150.456368"
"Taroom Hospital","07 4628 9900","Miller Street","Taroom","4420","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-taroom-hs.asp","Regional hospital","Public","<50","-25.638818000000001","149.79866899999999"
"Tasman Health and Community Service","03 6250 9000","1614 Nubeena Road","Nubeena","7184","Tas","Tasmanian Health Service","Tasmania","","Regional hospital","Public","<50","-43.096752000000002","147.742831"
"Temora Hospital","02 6980 0200","169 Loftus Street","Temora","2666","NSW","Murrumbidgee","Murrumbidgee","","Small hospital with an emergency department","Public","<50","-34.443942300000003","147.5426162"
"Tennant Creek Hospital","08 8962 4399","41 Schmidt Street","Tennant Creek","0860","NT","Central Australia (NT)","Northern Territory","www.health.nt.gov.au/Hospitals/Tennant_Creek_Hospital/index.aspx","Small hospital with an emergency department","Public","<50","-19.647791000000002","134.186893"
"Tenterfield Hospital","02 6739 5200","1-5 Naas Street","Tenterfield","2372","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50","-29.045083000000002","152.013552"
"Terang & Mortlake Health Service [Terang]","03 5592 0222","13 Austin Avenue","Terang","3264","Vic","Terang and Mortlake Health Service (Terang)","Western Victoria","www.tmhs.vic.gov.au","Regional hospital","Public","<50","-38.239387999999998","142.902119"
"Texas Hospital","07 4653 3200","Mingoola Road","Texas","4385","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-texas-hs.asp","Regional hospital","Public","<50","-28.855978","151.17948100000001"
"The Alfred","03 9076 2000","55 Commercial Road","Prahran","3181","Vic","Alfred Health (Vic)","North Western Melbourne","www.alfred.org.au","Major hospital with an emergency department","Public",">500","-37.846086999999997","144.98193699999999"
"The Avenue Hospital","03 9529 7377","40 The Avenue","Windsor","3181","Vic","","","www.theavenuehospital.com.au/","","Private","100-199","-37.854809000000003","144.998513"
"The Bays Hospital","03 5975 2009","Vale Street","Mornington","3931","Vic","","","www.thebays.com.au","","Private","100-199","-38.223523999999998","145.04093900000001"
"The Bendigo Hospital","03 5454 6000","100 Barnard Street","Bendigo","3550","Vic","Bendigo Health Care Group","Murray","www.bendigohealth.org.au","Large regional hospital with an emergency department","Public","200-500","-36.748727000000002","144.28337200000001"
"The Border Cancer Hospital","02 6064 1400","201-239 Borella Road","Albury","2640","NSW","","","www.bordercancerhospital.com.au","","Private","<50","-36.078398999999997","146.93812299999999"
"The Cairns Clinic","07 4050 7000","253 Sheridan Street","Cairns","4870","Qld","","","","","Private","50-99","-16.910827999999999","145.76209"
"The Canberra Hospital","02 5124 0000","Yamba Drive","Garran","2605","ACT","Australian Capital Territory","Australian Capital Territory","https://health.act.gov.au/hospitals-and-health-centres/canberra-hospital","Major hospital with an emergency department","Public",">500","-35.345776999999998","149.100898"
"The Children's Hospital at Westmead","02 9845 0000","178 Hawkesbury Road","Westmead","2145","NSW","Sydney Children's Hospitals Network","Western Sydney","www.chw.edu.au/","Specialist children's hospital with an emergency department","Public","200-500","-33.801554000000003","150.991759"
"The Eye Hospital","03 6334 4960","262 Charles Street","Launceston","7250","Tas","","","http://www.curagroup.com.au/the-eye-hospital","","Private","","-41.444592","147.14160899999999"
"The Geelong Clinic","03 5248 1155","98 Townsend Road","St Albans Park","3219","Vic","","","www.thegeelongclinic.com.au","","Private","<50","-38.182406","144.39326700000001"
"The Hills Clinic Kellyville","1300 122 144","15-17 Memorial Avenue","Kellyville","2155","NSW","","","www.thehillsclinic.com.au","","Private","<50","-33.716759000000003","150.952057"
"The Hills Private Hospital","02 9639 3333","499 Windsor Road","Baulkham Hills","2153","NSW","","","www.thehillsprivatehospital.com.au","","Private","50-99","-33.743476000000001","150.9825"
"The Hobart Clinic","03 6247 9960","31 Chipmans Road","Rokeby","7019","Tas","","","www.thehobartclinic.com.au","","Private","","-42.905613000000002","147.43527800000001"
"The Kilmore & District Hospital","03 5734 2000","Rutledge Street","Kilmore","3764","Vic","Kilmore and District Hospital","Murray","","Small hospital","Public","<50","-37.301794000000001","144.95791500000001"
"The McKellar Centre","03 5279 2222","45-95 Ballarat Road","North Geelong","3215","Vic","Barwon Health","Western Victoria","","Specialist rehabilitation hospital","Public","50-99","-38.118794999999999","144.33572799999999"
"The Melbourne Clinic","03 9429 4688","130 Church Street","Richmond","3121","Vic","","","www.themelbourneclinic.com.au","","Private","100-199","-37.814360999999998","144.998739"
"The Memorial Hospital","08 8366 3800","Sir Edwin Smith Avenue","North Adelaide","5006","SA","","","www.thememorialhospital.org.au","","Private","100-199","-34.912733000000003","138.59938500000001"
"The Mornington Centre","03 5976 2733","Corner of Tyalla Grove and Separation Street","Mornington","3931","Vic","Peninsula Health (Vic)","South Eastern Melbourne","","Specialist rehabilitation hospital","Public","50-99","-38.230173999999998","145.041697"
"The Northern Hospital [Epping]","03 8405 8000","185 Cooper Street","Epping","3076","Vic","Northern Health (Vic)","Eastern Melbourne","www.nh.org.au","Large metropolitan hospital with an emergency department","Public","200-500","-37.653416999999997","145.01438099999999"
"The Park Centre For Mental Health","07 3271 8222","Corner of Ellerton Drive and Wolston Park Road","Wacol","4076","Qld","West Moreton","Brisbane South","www.health.qld.gov.au/services/westmoreton/the-park.asp","Specialist psychiatric hospital","Public","100-199","-27.600413","152.910246"
"The Peter James Centre [East Burwood]","03 9881 1888","321-345 Burwood Highway","Forest Hill","3131","Vic","Eastern Health (Vic)","Eastern Melbourne","https://www.easternhealth.org.au/locations/peter-james-centre","Metropolitan hospital","Public","100-199","-37.852711999999997","145.16454200000001"
"The Prince Charles Hospital","07 3139 4000","Rode Road","Chermside","4032","Qld","Metro North (Qld)","Brisbane North","www.health.qld.gov.au/services/metronorth/metronorth_tpch.asp","Major hospital with an emergency department","Public",">500","-27.390497","153.02195499999999"
"The Queen Elizabeth Hospital","08 8222 6000","28 Woodville Road","Woodville","5011","SA","Central Adelaide","Adelaide","http://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services+metropolitan+adelaide/the+queen+elizabeth+hospital/the+queen+elizabeth+hospital","Large metropolitan hospital with an emergency department","Public","200-500","-34.884179000000003","138.53403900000001"
"The Royal Victorian Eye & Ear Hospital","03 9929 8666","32 Gisborne Street","East Melbourne","3002","Vic","Royal Victorian Eye and Ear Hospital","North Western Melbourne","https://www.eyeandear.org.au/","Specialist eye and ear hospital with an emergency department","Public","50-99","-37.808978000000003","144.97624500000001"
"The Skin & Cancer Foundation Australia","02 8833 3000","7 Ashley Lane","Westmead","2145","NSW","","","www.skin.com.au","","Private","<50","-33.807200000000002","150.98878999999999"
"The Southport Private Hospital","07 5671 8000","21 Spendelove Avenue","Southport","4215","Qld","","Gold Coast","www.southportprivate.com.au","","Private","<50","-27.973078000000001","153.40785199999999"
"The Sydney Clinic","02 9389 8888","22-24 Murray Street","Bronte","2024","NSW","","","www.thesydneyclinic.com.au","","Private","<50","-33.901383000000003","151.260988"
"The Sydney Private Hospital Incorporating the NSW Eye Centre","02 9797 0555","63 Victoria Street","Ashfield","2131","NSW","","","www.iphoa.com.au","","Private","50-99","-33.893999999999998","151.12989999999999"
"The Townsville Hospital","07 4433 1111","100 Angus Smith Drive","Douglas","4814","Qld","Townsville","Northern Queensland","www.health.qld.gov.au/services/townsville/tville_tville_hosp.asp","Major hospital with an emergency department","Public",">500","-19.320682999999999","146.762092"
"The Tweed Hospital","07 5536 1133","14 Powell Street","Tweed Heads","2485","NSW","Northern NSW","North Coast","","Large metropolitan hospital with an emergency department","Public","200-500","-28.177216000000001","153.545458"
"The Valley Private Hospital","03 9790 9333","Corner of Police and Gladstone Roads","Mulgrave","3170","Vic","","","www.thevalleyprivate.com.au","","Private","100-199","-37.938409","145.213122"
"The Victoria Clinic","03 9526 0200","324 Malvern Road","Prahran","3181","Vic","","","www.thevictoriaclinic.com.au","","Private","<50","-37.847714000000003","144.99722499999999"
"The Victorian Rehabilitation Centre","03 9566 2777","499 Springvale Road","Glen Waverley","3150","Vic","","","www.thevictorianrehabilitationcentre.com.au","","Private","100-199","-37.898226999999999","145.16142500000001"
"The Wesley Hospital","07 3232 7000","451 Coronation Drive","Auchenflower","4066","Qld","","","www.uchealth.com.au/wesley","","Private",">500","-27.478335000000001","152.99797100000001"
"Theodore Hospital","07 4990 3000","The Boulevard","Theodore","4719","Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/theodore.asp","Regional hospital","Public","<50","-24.943109","150.075277"
"Thomas Walker Hospital","02 9736 2288","Hospital Road","Concord West","2138","NSW","Sydney","Central and Eastern Sydney","","Specialist psychiatric hospital","Public","<50","-33.832335999999998","151.09789699999999"
"Thursday Island Hospital","07 4069 0200","163 Douglas Street","Thursday Island","4875","Qld","Torres and Cape","Northern Queensland","https://www.health.qld.gov.au/services/torres-cape/torres_ti_hosp","Small hospital","Public","<50","-10.587999999999999","142.21155999999999"
"Tibooburra Hospital","08 8083 2900","Sturt Street","Tibooburra","2880","NSW","Far West","Western NSW","","Regional hospital with an emergency department","Public","<50","-29.433211","142.01281700000001"
"Timboon & District Healthcare Service","03 5558 6000","21 Hospital Road","Timboon","3268","Vic","Timboon and District Healthcare Service","Western Victoria","www.timboonhealthcare.com.au","Regional hospital","Public","<50","-38.486230999999997","142.97671700000001"
"Tingha Multi Purpose Service","02 6723 3901","Inverell Road","Tingha","2369","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50","-29.950779000000001","151.20673199999999"
"Tocumwal Hospital","03 5874 2166","Adams Street","Tocumwal","2714","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-35.815407","145.568996"
"Tom Price Hospital","08 9159 5222","862 Mine Road","Tom Price","6751","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=257","Regional hospital","Public","<50","-22.695367000000001","117.790271"
"Tomaree Hospital","02 4984 0700","2 Trevally Street","Nelson Bay","2315","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50","-32.720053","152.15885800000001"
"Toosey Memorial Hospital (Longford)","03 6391 1202","10 Archer Street","Longford","7301","Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/toosey_aged_and_community_care","Regional hospital","Public","<50","-41.593091000000001","147.11948599999999"
"Toowong Private Hospital","07 3721 8000","496 Milton Road","Toowong","4066","Qld","","","www.toowongprivatehospital.com.au","","Private","50-99","-27.477360000000001","152.99125"
"Toowoomba Hospital","07 4616 6000","Pechey Street","Toowoomba","4350","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-toowoomba-hs.asp","Large regional hospital with an emergency department","Public","200-500","-27.569872","151.944433"
"Toowoomba Surgicentre","07 4659 3100","18 Scott Street","Toowoomba","4350","Qld","","","http://www.curagroup.com.au/toowoomba-surgicentre/","","Private","<50","-27.566341000000001","151.97378499999999"
"Tottenham Multipurpose Service","02 6891 6200","Lot 10 Moondana Street","Tottenham","2873","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-32.242711","147.35803100000001"
"Townsville Day Surgery","07 4725 4500","1 Martinez Avenue","West End","4810","Qld","","","www.townsvilledaysurgery.com.au","","Private","<50","-19.268889000000001","146.782836"
"Trangie Multi Purpose Service","02 6880 8200","28 Harris Street","Trangie","2823","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-32.030813000000002","147.97635500000001"
"Tresillian Care Centres","02 9787 0800","McKenzie Street","Belmore","2192","NSW","Sydney","Central and Eastern Sydney","www.tresillian.net/","Early parenting centre","Public","50-99","-33.918731999999999","151.09752599999999"
"Tresillian Family Care Centre, Kingswood","02 4734 2124","1b Barber Avenue","Kingswood","2747","NSW","Unknown","Nepean Blue Mountains","https://www.tresillian.org.au/","Early parenting centre","Public","<50","-33.758161000000001","150.714392"
"Trundle Multi Purpose Health Service","02 6892 1900","44 Brookview Street","Trundle","2875","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-32.921078000000001","147.70431500000001"
"Tullamore Multi Purpose Health Service","02 6891 3100","1 Hinkler Street","Tullamore","2874","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-32.635114000000002","147.568997"
"Tully Hospital","07 4068 4144","Bryant Street","Tully","4854","Qld","Cairns and Hinterland","Northern Queensland","www.health.qld.gov.au/services/cairns-hinterland/cairns_tully_hosp.asp","Small hospital","Public","<50","-17.927624000000002","145.92414600000001"
"Tumbarumba Multi Purpose Service","02 6948 9600","4 Mitchell Street","Tumbarumba","2653","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-35.778706","148.006203"
"Tumby Bay Hospital and Health Services","08 8688 2007","8-11 Esplanade","Tumby Bay","5605","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/tumbybayhospital","Regional hospital","Public","<50","-34.372292000000002","136.10393199999999"
"Tumut Hospital","02 6947 0800","105 Simpson Street","Tumut","2720","NSW","Murrumbidgee","Murrumbidgee","","Small hospital with an emergency department","Public","<50","-35.307265000000001","148.21955199999999"
"Tweddle Child & Family Health Centre [Footscray]","03 9689 1577","53 Adelaide Street","Footscray","3011","Vic","Not stated/inadequately described","North Western Melbourne","","Early parenting centre","Public","<50","-37.797407","144.88742099999999"
"Tweed Day Surgery","07 5599 5522","38-44 Boyd Street","Tweed Heads","2485","NSW","","","www.tweeddaysurgery.com.au","","Private","<50","-28.179019","153.53998899999999"
"Ulladulla Endoscopy and Medical Centre","02 4455 5422","111 Princes Highway","Ulladulla","2539","NSW","","","www.ulladullaendoscopy.com.au","","Private","<50","-35.358764000000001","150.47348099999999"
"University Hospital Geelong","03 4215 0000","Bellerine Street","Geelong","3220","Vic","Barwon Health","Western Victoria","","Major hospital with an emergency department","Public","200-500","-38.151533000000001","144.36496399999999"
"Upper Murray Health & Community Services [Corryong]","02 6076 3200","20 Kiell Street","Corryong","3707","Vic","Upper Murray Health and Community Services (Corryong)","Murray","www.corryonghealth.org.au","Regional hospital","Public","<50","-36.198711000000003","147.90279799999999"
"Urana Multi Purpose Service","02 6920 8106","127-129 Princess Street","Urana","2645","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-35.325418999999997","146.26731599999999"
"Urbenville Multi Purpose Service","02 6634 1600","45 Beaury Street","Urbenville","2475","NSW","Northern NSW","North Coast","","Regional hospital with an emergency department","Public","<50","-28.471511","152.54302899999999"
"Ursula Frayne Centre","03 9319 7000","35 Mavis Street","Footscray","3011","Vic","Mercy Public Hospital Inc. (Vic)","North Western Melbourne","https://health-services.mercyhealth.com.au/our-locations/adult-mental-health-services-south-west-metro/ursula-frayne-centre/","Specialist psychiatric hospital","Public","<50","-37.791148","144.88674700000001"
"Vegetable Creek Multi Purpose Service Emmaville","02 6734 7900","13-33 Glen Innes Road","Emmaville","2371","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50","-29.450547","151.59920399999999"
"Victoria Parade Surgery Centre","03 9650 4000","Level 1, 100 Victoria Parade","East Melboune","3002","Vic","","","http://www.curagroup.com.au/victoria-parade-surgery-centre","","Private","<50","-37.808520999999999","144.97476"
"Victorian Institute of Forensic Mental Health","03 8684 0000","Yarra Bend Road","Fairfield","3078","Vic","Victorian Institute of Forensic Mental Health","North Western Melbourne","","Specialist psychiatric hospital","Public","100-199","-37.78931","145.01297500000001"
"Victorian Institute of Forensic Mental Health Prison Health Service","03 8684 0000","317 Spencer Street","Melbourne","3001","Vic","Victorian Institute of Forensic Mental Health","North Western Melbourne","","Specialist psychiatric hospital","Public","<50","-37.812762999999997","144.95075700000001"
