"Hospital","State","Peer group","Time period","Type of case","Proxy reporting","Cases","Patient days under surveillance","Rate per 10,000 patient days","","Peer group average"
"Modbury Hospital","SA","Large hospitals","2014–15","Total","","9","77114","1.17","","0.80"
"Modbury Hospital","SA","Large hospitals","2015–16","Total","","1","71225","0.14","","0.68"
"Modbury Hospital","SA","Large hospitals","2016–17","Total","","1","54945","0.18","","0.73"
"Modbury Hospital","SA","Large hospitals","2017–18","Total","","3","61173","0.49","","0.67"
"Modbury Hospital","SA","Large hospitals","2016–17","MRSA","","1","54945","0.18","","0.14"
"Modbury Hospital","SA","Large hospitals","2017–18","MRSA","","1","61173","0.16","","0.10"
"Modbury Hospital","SA","Large hospitals","2016–17","MSSA","","0","54945","0","","0.60"
"Modbury Hospital","SA","Large hospitals","2017–18","MSSA","","2","61173","0.33","","0.56"
"Mount Barker District Soldiers' Memorial Hospital","SA","Unpeered","2010–11","Total","","0","7105","0","","Not peered"
"Mount Barker District Soldiers' Memorial Hospital","SA","Unpeered","2011–12","Total","","0","8116","0","","Not peered"
"Mount Barker District Soldiers' Memorial Hospital","SA","Unpeered","2012–13","Total","","0","8508","0","","Not peered"
"Mount Barker District Soldiers' Memorial Hospital","SA","Unpeered","2013–14","Total","","0","8587","0","","Not peered"
"Mount Barker District Soldiers' Memorial Hospital","SA","Unpeered","2014–15","Total","","0","9250","0","","Not peered"
"Mount Barker District Soldiers' Memorial Hospital","SA","Unpeered","2015–16","Total","","0","9830","0","","Not peered"
"Mount Barker District Soldiers' Memorial Hospital","SA","Unpeered","2016–17","Total","","0","10526","0","","Not peered"
"Mount Barker District Soldiers' Memorial Hospital","SA","Unpeered","2017–18","Total","","0","11773","0","","Not peered"
"Mount Barker District Soldiers' Memorial Hospital","SA","Unpeered","2016–17","MRSA","","0","10526","0","","Not peered"
"Mount Barker District Soldiers' Memorial Hospital","SA","Unpeered","2017–18","MRSA","","0","11773","0","","Not peered"
"Mount Barker District Soldiers' Memorial Hospital","SA","Unpeered","2016–17","MSSA","","0","10526","0","","Not peered"
"Mount Barker District Soldiers' Memorial Hospital","SA","Unpeered","2017–18","MSSA","","0","11773","0","","Not peered"
"Mount Gambier and Districts Health Service","SA","Medium hospitals","2010–11","Total","","0","21836","0","","0.68"
"Mount Gambier and Districts Health Service","SA","Medium hospitals","2011–12","Total","","4","23908","1.67","","0.50"
"Mount Gambier and Districts Health Service","SA","Medium hospitals","2012–13","Total","","4","24041","1.66","","0.63"
"Mount Gambier and Districts Health Service","SA","Medium hospitals","2013–14","Total","","0","24249","0","","0.47"
"Mount Gambier and Districts Health Service","SA","Medium hospitals","2014–15","Total","","0","24471","0","","0.42"
"Mount Gambier and Districts Health Service","SA","Medium hospitals","2015–16","Total","","0","27593","0","","0.51"
"Mount Gambier and Districts Health Service","SA","Medium hospitals","2016–17","Total","","1","28372","0.35","","0.49"
"Mount Gambier and Districts Health Service","SA","Medium hospitals","2017–18","Total","","3","28562","1.05","","0.55"
"Mount Gambier and Districts Health Service","SA","Medium hospitals","2016–17","MRSA","","0","28372","0","","0.08"
"Mount Gambier and Districts Health Service","SA","Medium hospitals","2017–18","MRSA","","0","28562","0","","0.11"
"Mount Gambier and Districts Health Service","SA","Medium hospitals","2016–17","MSSA","","1","28372","0.35","","0.42"
"Mount Gambier and Districts Health Service","SA","Medium hospitals","2017–18","MSSA","","3","28562","1.05","","0.44"
"Mount Pleasant District Hospital","SA","Unpeered","2010–11","Total","",NA,NA,NA,"","Not peered"
"Mount Pleasant District Hospital","SA","Unpeered","2011–12","Total","",NA,NA,NA,"","Not peered"
"Mount Pleasant District Hospital","SA","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Mount Pleasant District Hospital","SA","Unpeered","2013–14","Total","","0","5153","0","","Not peered"
"Mount Pleasant District Hospital","SA","Unpeered","2014–15","Total","","0","5211","0","","Not peered"
"Mount Pleasant District Hospital","SA","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Mount Pleasant District Hospital","SA","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Mount Pleasant District Hospital","SA","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Mount Pleasant District Hospital","SA","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Mount Pleasant District Hospital","SA","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Mount Pleasant District Hospital","SA","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Mount Pleasant District Hospital","SA","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Murray Bridge Soldiers' Memorial Hospital","SA","Unpeered","2010–11","Total","","0","12554","0","","Not peered"
"Murray Bridge Soldiers' Memorial Hospital","SA","Unpeered","2011–12","Total","","0","12721","0","","Not peered"
"Murray Bridge Soldiers' Memorial Hospital","SA","Unpeered","2012–13","Total","","0","12660","0","","Not peered"
"Murray Bridge Soldiers' Memorial Hospital","SA","Unpeered","2013–14","Total","","0","12958","0","","Not peered"
"Murray Bridge Soldiers' Memorial Hospital","SA","Unpeered","2014–15","Total","","0","13438","0","","Not peered"
"Murray Bridge Soldiers' Memorial Hospital","SA","Unpeered","2015–16","Total","","0","14186","0","","Not peered"
"Murray Bridge Soldiers' Memorial Hospital","SA","Unpeered","2016–17","Total","","0","14212","0","","Not peered"
"Murray Bridge Soldiers' Memorial Hospital","SA","Unpeered","2017–18","Total","","0","14271","0","","Not peered"
"Murray Bridge Soldiers' Memorial Hospital","SA","Unpeered","2016–17","MRSA","","0","14212","0","","Not peered"
"Murray Bridge Soldiers' Memorial Hospital","SA","Unpeered","2017–18","MRSA","","0","14271","0","","Not peered"
"Murray Bridge Soldiers' Memorial Hospital","SA","Unpeered","2016–17","MSSA","","0","14212","0","","Not peered"
"Murray Bridge Soldiers' Memorial Hospital","SA","Unpeered","2017–18","MSSA","","0","14271","0","","Not peered"
"Naracoorte Health Service","SA","Unpeered","2010–11","Total","","0","9700","0","","Not peered"
"Naracoorte Health Service","SA","Unpeered","2011–12","Total","","0","17296","0","","Not peered"
"Naracoorte Health Service","SA","Unpeered","2012–13","Total","","0","12842","0","","Not peered"
"Naracoorte Health Service","SA","Unpeered","2013–14","Total","","0","9676","0","","Not peered"
"Naracoorte Health Service","SA","Unpeered","2014–15","Total","","0","11149","0","","Not peered"
"Naracoorte Health Service","SA","Unpeered","2015–16","Total","","0","14482","0","","Not peered"
"Naracoorte Health Service","SA","Unpeered","2016–17","Total","","0","9712","0","","Not peered"
"Naracoorte Health Service","SA","Unpeered","2017–18","Total","","0","6674","0","","Not peered"
"Naracoorte Health Service","SA","Unpeered","2016–17","MRSA","","0","9712","0","","Not peered"
"Naracoorte Health Service","SA","Unpeered","2017–18","MRSA","","0","6674","0","","Not peered"
"Naracoorte Health Service","SA","Unpeered","2016–17","MSSA","","0","9712","0","","Not peered"
"Naracoorte Health Service","SA","Unpeered","2017–18","MSSA","","0","6674","0","","Not peered"
"Noarlunga Hospital","SA","Medium hospitals","2010–11","Total","","0","34518","0","","0.68"
"Noarlunga Hospital","SA","Medium hospitals","2011–12","Total","","0","34052","0","","0.50"
"Noarlunga Hospital","SA","Medium hospitals","2012–13","Total","","3","34665","0.87","","0.63"
"Noarlunga Hospital","SA","Medium hospitals","2013–14","Total","","0","30728","0","","0.47"
"Noarlunga Hospital","SA","Medium hospitals","2014–15","Total","","2","34073","0.59","","0.42"
"Noarlunga Hospital","SA","Medium hospitals","2015–16","Total","","2","32671","0.61","","0.51"
"Noarlunga Hospital","SA","Medium hospitals","2016–17","Total","","0","30666","0","","0.49"
"Noarlunga Hospital","SA","Medium hospitals","2017–18","Total","","0","35606","0","","0.55"
"Noarlunga Hospital","SA","Medium hospitals","2016–17","MRSA","","0","30666","0","","0.08"
"Noarlunga Hospital","SA","Medium hospitals","2017–18","MRSA","","0","35606","0","","0.11"
"Noarlunga Hospital","SA","Medium hospitals","2016–17","MSSA","","0","30666","0","","0.42"
"Noarlunga Hospital","SA","Medium hospitals","2017–18","MSSA","","0","35606","0","","0.44"
"Northern Yorke Peninsula Health Service (Wallaroo)","SA","Unpeered","2010–11","Total","","0","6636","0","","Not peered"
"Northern Yorke Peninsula Health Service (Wallaroo)","SA","Unpeered","2011–12","Total","","0","6128","0","","Not peered"
"Northern Yorke Peninsula Health Service (Wallaroo)","SA","Unpeered","2012–13","Total","","0","6244","0","","Not peered"
"Northern Yorke Peninsula Health Service (Wallaroo)","SA","Unpeered","2013–14","Total","","0","5806","0","","Not peered"
"Northern Yorke Peninsula Health Service (Wallaroo)","SA","Unpeered","2014–15","Total","","0","6151","0","","Not peered"
"Northern Yorke Peninsula Health Service (Wallaroo)","SA","Unpeered","2015–16","Total","","0","5822","0","","Not peered"
"Northern Yorke Peninsula Health Service (Wallaroo)","SA","Unpeered","2016–17","Total","","0","5616","0","","Not peered"
"Northern Yorke Peninsula Health Service (Wallaroo)","SA","Unpeered","2017–18","Total","","1","5745","1.74","","Not peered"
"Northern Yorke Peninsula Health Service (Wallaroo)","SA","Unpeered","2016–17","MRSA","","0","5616","0","","Not peered"
"Northern Yorke Peninsula Health Service (Wallaroo)","SA","Unpeered","2017–18","MRSA","","1","5745","1.74","","Not peered"
"Northern Yorke Peninsula Health Service (Wallaroo)","SA","Unpeered","2016–17","MSSA","","0","5616","0","","Not peered"
"Northern Yorke Peninsula Health Service (Wallaroo)","SA","Unpeered","2017–18","MSSA","","0","5745","0","","Not peered"
"Oakden Hospital","SA","Unpeered","2010–11","Total","",NA,NA,NA,"","Not peered"
"Oakden Hospital","SA","Unpeered","2011–12","Total","",NA,NA,NA,"","Not peered"
"Oakden Hospital","SA","Unpeered","2012–13","Total","",NA,NA,NA,"","Not peered"
"Oakden Hospital","SA","Unpeered","2013–14","Total","",NA,NA,NA,"","Not peered"
"Oakden Hospital","SA","Unpeered","2014–15","Total","",NA,NA,NA,"","Not peered"
"Oakden Hospital","SA","Unpeered","2015–16","Total","",NA,NA,NA,"","Not peered"
"Oakden Hospital","SA","Unpeered","2016–17","Total","",NA,NA,NA,"","Not peered"
"Oakden Hospital","SA","Unpeered","2017–18","Total","",NA,NA,NA,"","Not peered"
"Oakden Hospital","SA","Unpeered","2016–17","MRSA","",NA,NA,NA,"","Not peered"
"Oakden Hospital","SA","Unpeered","2017–18","MRSA","",NA,NA,NA,"","Not peered"
"Oakden Hospital","SA","Unpeered","2016–17","MSSA","",NA,NA,NA,"","Not peered"
"Oakden Hospital","SA","Unpeered","2017–18","MSSA","",NA,NA,NA,"","Not peered"
"Orroroo and District Health Service","SA","Unpeered","2010–11","Total","",NA,NA,NA,"","Not peered"
"Orroroo and District Health Service","SA","Unpeered","2011–12","Total","",NA,NA,NA,"","Not peered"
"Orroroo and District Health Service","SA","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Orroroo and District Health Service","SA","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Orroroo and District Health Service","SA","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Orroroo and District Health Service","SA","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Orroroo and District Health Service","SA","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Orroroo and District Health Service","SA","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Orroroo and District Health Service","SA","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Orroroo and District Health Service","SA","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Orroroo and District Health Service","SA","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Orroroo and District Health Service","SA","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Penola War Memorial Hospital","SA","Unpeered","2010–11","Total","",NA,NA,NA,"","Not peered"
"Penola War Memorial Hospital","SA","Unpeered","2011–12","Total","",NA,NA,NA,"","Not peered"
"Penola War Memorial Hospital","SA","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Penola War Memorial Hospital","SA","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Penola War Memorial Hospital","SA","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Penola War Memorial Hospital","SA","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Penola War Memorial Hospital","SA","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Penola War Memorial Hospital","SA","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Penola War Memorial Hospital","SA","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Penola War Memorial Hospital","SA","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Penola War Memorial Hospital","SA","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Penola War Memorial Hospital","SA","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Peterborough Soldiers' Memorial Hospital","SA","Unpeered","2010–11","Total","",NA,NA,NA,"","Not peered"
"Peterborough Soldiers' Memorial Hospital","SA","Unpeered","2011–12","Total","",NA,NA,NA,"","Not peered"
"Peterborough Soldiers' Memorial Hospital","SA","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Peterborough Soldiers' Memorial Hospital","SA","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Peterborough Soldiers' Memorial Hospital","SA","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Peterborough Soldiers' Memorial Hospital","SA","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Peterborough Soldiers' Memorial Hospital","SA","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Peterborough Soldiers' Memorial Hospital","SA","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Peterborough Soldiers' Memorial Hospital","SA","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Peterborough Soldiers' Memorial Hospital","SA","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Peterborough Soldiers' Memorial Hospital","SA","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Peterborough Soldiers' Memorial Hospital","SA","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Pinnaroo Soldiers' Memorial Hospital","SA","Unpeered","2010–11","Total","",NA,NA,NA,"","Not peered"
"Pinnaroo Soldiers' Memorial Hospital","SA","Unpeered","2011–12","Total","",NA,NA,NA,"","Not peered"
"Pinnaroo Soldiers' Memorial Hospital","SA","Unpeered","2012–13","Total","","0","11893","0","","Not peered"
"Pinnaroo Soldiers' Memorial Hospital","SA","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Pinnaroo Soldiers' Memorial Hospital","SA","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Pinnaroo Soldiers' Memorial Hospital","SA","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Pinnaroo Soldiers' Memorial Hospital","SA","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Pinnaroo Soldiers' Memorial Hospital","SA","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Pinnaroo Soldiers' Memorial Hospital","SA","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Pinnaroo Soldiers' Memorial Hospital","SA","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Pinnaroo Soldiers' Memorial Hospital","SA","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Pinnaroo Soldiers' Memorial Hospital","SA","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Port Augusta Hospital and Regional Health Services","SA","Medium hospitals","2010–11","Total","","0","21084","0","","0.68"
"Port Augusta Hospital and Regional Health Services","SA","Medium hospitals","2011–12","Total","","0","21052","0","","0.50"
"Port Augusta Hospital and Regional Health Services","SA","Medium hospitals","2012–13","Total","","0","20359","0","","0.63"
"Port Augusta Hospital and Regional Health Services","SA","Medium hospitals","2013–14","Total","","0","21232","0","","0.47"
"Port Augusta Hospital and Regional Health Services","SA","Medium hospitals","2014–15","Total","","0","19634","0","","0.42"
"Port Augusta Hospital and Regional Health Services","SA","Medium hospitals","2015–16","Total","","0","19847","0","","0.51"
"Port Augusta Hospital and Regional Health Services","SA","Medium hospitals","2016–17","Total","","1","19725","0.51","","0.49"
"Port Augusta Hospital and Regional Health Services","SA","Medium hospitals","2017–18","Total","","1","19107","0.52","","0.55"
"Port Augusta Hospital and Regional Health Services","SA","Medium hospitals","2016–17","MRSA","","1","19725","0.51","","0.08"
"Port Augusta Hospital and Regional Health Services","SA","Medium hospitals","2017–18","MRSA","","1","19107","0.52","","0.11"
"Port Augusta Hospital and Regional Health Services","SA","Medium hospitals","2016–17","MSSA","","0","19725","0","","0.42"
"Port Augusta Hospital and Regional Health Services","SA","Medium hospitals","2017–18","MSSA","","0","19107","0","","0.44"
"Port Broughton and District Hospital and Health Service","SA","Unpeered","2010–11","Total","",NA,NA,NA,"","Not peered"
"Port Broughton and District Hospital and Health Service","SA","Unpeered","2011–12","Total","",NA,NA,NA,"","Not peered"
"Port Broughton and District Hospital and Health Service","SA","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Port Broughton and District Hospital and Health Service","SA","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Port Broughton and District Hospital and Health Service","SA","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Port Broughton and District Hospital and Health Service","SA","Unpeered","2015–16","Total","","0","8083","0","","Not peered"
"Port Broughton and District Hospital and Health Service","SA","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Port Broughton and District Hospital and Health Service","SA","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Port Broughton and District Hospital and Health Service","SA","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Port Broughton and District Hospital and Health Service","SA","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Port Broughton and District Hospital and Health Service","SA","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Port Broughton and District Hospital and Health Service","SA","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Port Lincoln Health Service","SA","Unpeered","2010–11","Total","","0","12312","0","","Not peered"
"Port Lincoln Health Service","SA","Unpeered","2011–12","Total","","0","12914","0","","Not peered"
"Port Lincoln Health Service","SA","Unpeered","2012–13","Total","","0","12176","0","","Not peered"
"Port Lincoln Health Service","SA","Unpeered","2013–14","Total","","0","11506","0","","Not peered"
"Port Lincoln Health Service","SA","Unpeered","2014–15","Total","","0","11976","0","","Not peered"
"Port Lincoln Health Service","SA","Unpeered","2015–16","Total","","0","11995","0","","Not peered"
"Port Lincoln Health Service","SA","Unpeered","2016–17","Total","","1","11663","0.86","","Not peered"
"Port Lincoln Health Service","SA","Unpeered","2017–18","Total","","2","12351","1.62","","Not peered"
"Port Lincoln Health Service","SA","Unpeered","2016–17","MRSA","","0","11663","0","","Not peered"
"Port Lincoln Health Service","SA","Unpeered","2017–18","MRSA","","1","12351","0.81","","Not peered"
"Port Lincoln Health Service","SA","Unpeered","2016–17","MSSA","","1","11663","0.86","","Not peered"
"Port Lincoln Health Service","SA","Unpeered","2017–18","MSSA","","1","12351","0.81","","Not peered"
"Port Pirie Regional Health Service","SA","Unpeered","2010–11","Total","","0","25138","0","","Not peered"
"Port Pirie Regional Health Service","SA","Unpeered","2011–12","Total","","0","47458","0","","Not peered"
"Port Pirie Regional Health Service","SA","Unpeered","2012–13","Total","","0","16142","0","","Not peered"
"Port Pirie Regional Health Service","SA","Unpeered","2013–14","Total","","0","16911","0","","Not peered"
"Port Pirie Regional Health Service","SA","Unpeered","2014–15","Total","","0","17295","0","","Not peered"
"Port Pirie Regional Health Service","SA","Unpeered","2015–16","Total","","1","16586","0.60","","Not peered"
"Port Pirie Regional Health Service","SA","Unpeered","2016–17","Total","","1","15497","0.65","","Not peered"
"Port Pirie Regional Health Service","SA","Unpeered","2017–18","Total","","2","18089","1.11","","Not peered"
"Port Pirie Regional Health Service","SA","Unpeered","2016–17","MRSA","","0","15497","0","","Not peered"
"Port Pirie Regional Health Service","SA","Unpeered","2017–18","MRSA","","0","18089","0","","Not peered"
"Port Pirie Regional Health Service","SA","Unpeered","2016–17","MSSA","","1","15497","0.65","","Not peered"
"Port Pirie Regional Health Service","SA","Unpeered","2017–18","MSSA","","2","18089","1.11","","Not peered"
"Pregnancy Advisory Centre","SA","Unpeered","2010–11","Total","",NA,NA,NA,"","Not peered"
"Pregnancy Advisory Centre","SA","Unpeered","2011–12","Total","",NA,NA,NA,"","Not peered"
"Pregnancy Advisory Centre","SA","Unpeered","2012–13","Total","",NA,NA,NA,"","Not peered"
"Pregnancy Advisory Centre","SA","Unpeered","2013–14","Total","",NA,NA,NA,"","Not peered"
"Pregnancy Advisory Centre","SA","Unpeered","2014–15","Total","",NA,NA,NA,"","Not peered"
"Pregnancy Advisory Centre","SA","Unpeered","2015–16","Total","",NA,NA,NA,"","Not peered"
"Pregnancy Advisory Centre","SA","Unpeered","2016–17","Total","",NA,NA,NA,"","Not peered"
"Pregnancy Advisory Centre","SA","Unpeered","2017–18","Total","",NA,NA,NA,"","Not peered"
"Pregnancy Advisory Centre","SA","Unpeered","2016–17","MRSA","",NA,NA,NA,"","Not peered"
"Pregnancy Advisory Centre","SA","Unpeered","2017–18","MRSA","",NA,NA,NA,"","Not peered"
"Pregnancy Advisory Centre","SA","Unpeered","2016–17","MSSA","",NA,NA,NA,"","Not peered"
"Pregnancy Advisory Centre","SA","Unpeered","2017–18","MSSA","",NA,NA,NA,"","Not peered"
"Quorn Health Service","SA","Unpeered","2010–11","Total","",NA,NA,NA,"","Not peered"
"Quorn Health Service","SA","Unpeered","2011–12","Total","",NA,NA,NA,"","Not peered"
"Quorn Health Service","SA","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Quorn Health Service","SA","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Quorn Health Service","SA","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Quorn Health Service","SA","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Quorn Health Service","SA","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Quorn Health Service","SA","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Quorn Health Service","SA","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Quorn Health Service","SA","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Quorn Health Service","SA","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Quorn Health Service","SA","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Renmark Paringa District Hospital","SA","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Renmark Paringa District Hospital","SA","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Renmark Paringa District Hospital","SA","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Renmark Paringa District Hospital","SA","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Renmark Paringa District Hospital","SA","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Renmark Paringa District Hospital","SA","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Renmark Paringa District Hospital","SA","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Renmark Paringa District Hospital","SA","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Renmark Paringa District Hospital","SA","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Renmark Paringa District Hospital","SA","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Renmark Paringa District Hospital","SA","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Renmark Paringa District Hospital","SA","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Repatriation General Hospital","SA","Large hospitals","2010–11","Total","","6","113580","0.53","","1"
"Repatriation General Hospital","SA","Large hospitals","2011–12","Total","","3","111307","0.27","","0.93"
"Repatriation General Hospital","SA","Large hospitals","2012–13","Total","","3","109807","0.27","","0.97"
"Repatriation General Hospital","SA","Large hospitals","2013–14","Total","","7","103960","0.67","","0.85"
"Repatriation General Hospital","SA","Large hospitals","2014–15","Total","","7","102063","0.69","","0.80"
"Repatriation General Hospital","SA","Large hospitals","2015–16","Total","","3","97631","0.31","","0.68"
"Repatriation General Hospital","SA","Large hospitals","2016–17","Total","","4","83986","0.48","","0.73"
"Repatriation General Hospital","SA","Large hospitals","2017–18","Total","Data reported under Flinders Medical Centre","-","-","-","","-"
"Repatriation General Hospital","SA","Large hospitals","2016–17","MRSA","","0","83986","0","","0.14"
"Repatriation General Hospital","SA","Large hospitals","2017–18","MRSA","Data reported under Flinders Medical Centre","-","-","-","","-"
"Repatriation General Hospital","SA","Large hospitals","2016–17","MSSA","","4","83986","0.48","","0.60"
"Repatriation General Hospital","SA","Large hospitals","2017–18","MSSA","Data reported under Flinders Medical Centre","-","-","-","","-"
"Riverland General Hospital","SA","Unpeered","2010–11","Total","","0","7823","0","","Not peered"
"Riverland General Hospital","SA","Unpeered","2011–12","Total","","0","8541","0","","Not peered"
"Riverland General Hospital","SA","Unpeered","2012–13","Total","","0","10391","0","","Not peered"
"Riverland General Hospital","SA","Unpeered","2013–14","Total","","0","12212","0","","Not peered"
"Riverland General Hospital","SA","Unpeered","2014–15","Total","","0","14303","0","","Not peered"
"Riverland General Hospital","SA","Unpeered","2015–16","Total","","0","15437","0","","Not peered"
"Riverland General Hospital","SA","Unpeered","2016–17","Total","","1","14993","0.67","","Not peered"
"Riverland General Hospital","SA","Unpeered","2017–18","Total","","0","14872","0","","Not peered"
"Riverland General Hospital","SA","Unpeered","2016–17","MRSA","","1","14993","0.67","","Not peered"
"Riverland General Hospital","SA","Unpeered","2017–18","MRSA","","0","14872","0","","Not peered"
"Riverland General Hospital","SA","Unpeered","2016–17","MSSA","","0","14993","0","","Not peered"
"Riverland General Hospital","SA","Unpeered","2017–18","MSSA","","0","14872","0","","Not peered"
"Riverton District Soldiers' Memorial Hospital","SA","Unpeered","2010–11","Total","",NA,NA,NA,"","Not peered"
"Riverton District Soldiers' Memorial Hospital","SA","Unpeered","2011–12","Total","",NA,NA,NA,"","Not peered"
"Riverton District Soldiers' Memorial Hospital","SA","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Riverton District Soldiers' Memorial Hospital","SA","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Riverton District Soldiers' Memorial Hospital","SA","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Riverton District Soldiers' Memorial Hospital","SA","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Riverton District Soldiers' Memorial Hospital","SA","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Riverton District Soldiers' Memorial Hospital","SA","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Riverton District Soldiers' Memorial Hospital","SA","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Riverton District Soldiers' Memorial Hospital","SA","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Riverton District Soldiers' Memorial Hospital","SA","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Riverton District Soldiers' Memorial Hospital","SA","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Roxby Downs Health Service","SA","Unpeered","2010–11","Total","",NA,NA,NA,"","Not peered"
"Roxby Downs Health Service","SA","Unpeered","2011–12","Total","",NA,NA,NA,"","Not peered"
